Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,24
design__inferred_latch__count,0
design__instance__count,16111
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,521
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,71
design__max_cap_violation__count__corner:nom_tt_025C_1v80,7
power__internal__total,0.0009457855485379696
power__switching__total,0.000413127796491608
power__leakage__total,7.748422348186068E-8
power__total,0.0013589909067377448
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27523670233110203
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27346317651025587
timing__hold__ws__corner:nom_tt_025C_1v80,0.47140609416978574
timing__setup__ws__corner:nom_tt_025C_1v80,7.6299146937910445
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.471406
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.629915
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1438
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,71
design__max_cap_violation__count__corner:nom_ss_100C_1v60,24
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2922771829511039
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2907572875874065
timing__hold__ws__corner:nom_ss_100C_1v60,1.1599489475029918
timing__setup__ws__corner:nom_ss_100C_1v60,-4.362329287939569
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-21.299961508566646
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-4.362329287939569
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.159949
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,9
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-4.362329
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,9
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,312
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,71
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2689435417159097
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2670157781570053
timing__hold__ws__corner:nom_ff_n40C_1v95,0.2135532922054903
timing__setup__ws__corner:nom_ff_n40C_1v95,10.242923243951866
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.213553
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.651495
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1543
design__max_fanout_violation__count,71
design__max_cap_violation__count,25
clock__skew__worst_hold,-0.2668670915342272
clock__skew__worst_setup,0.265710738710225
timing__hold__ws,0.21108571044117044
timing__setup__ws,-4.999337973991692
timing__hold__tns,0.0
timing__setup__tns,-27.551673722319226
timing__hold__wns,0
timing__setup__wns,-4.999337973991692
timing__hold_vio__count,0
timing__hold_r2r__ws,0.211086
timing__hold_r2r_vio__count,0
timing__setup_vio__count,29
timing__setup_r2r__ws,-4.999338
timing__setup_r2r_vio__count,29
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,4632
design__instance__area__stdcell,32841.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.452583
design__instance__utilization__stdcell,0.452583
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,11
design__instance__area__class:buffer,55.0528
design__instance__count__class:inverter,38
design__instance__area__class:inverter,142.637
design__instance__count__class:sequential_cell,180
design__instance__area__class:sequential_cell,3828.67
design__instance__count__class:multi_input_combinational_cell,2167
design__instance__area__class:multi_input_combinational_cell,21360.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,11479
design__instance__area__class:fill_cell,39723.1
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,20593.2
design__instance__displacement__mean,4.301
design__instance__displacement__max,98.82
route__wirelength__estimated,71480.6
design__violations,0
design__instance__count__class:timing_repair_buffer,299
design__instance__area__class:timing_repair_buffer,2921.55
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,61
design__instance__area__class:clock_buffer,1136.09
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,124
global_route__vias,67
global_route__wirelength,142629
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,839
design__instance__area__class:antenna_cell,2099.51
route__net,2763
route__net__special,2
route__drc_errors__iter:0,26
route__wirelength__iter:0,92279
route__drc_errors__iter:1,0
route__wirelength__iter:1,92274
route__drc_errors__iter:2,66
route__wirelength__iter:2,92414
route__drc_errors__iter:3,4
route__wirelength__iter:3,92397
route__drc_errors__iter:4,3
route__wirelength__iter:4,92397
route__drc_errors__iter:5,3
route__wirelength__iter:5,92397
route__drc_errors__iter:6,0
route__wirelength__iter:6,92396
route__drc_errors,0
route__wirelength,92274
route__vias,23263
route__vias__singlecut,23263
route__vias__multicut,0
antenna_diodes_count,7
flow__warnings__count:DRT-0349,10
flow__warnings__count:GRT-0243,1
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,872.36
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,31
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,31
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,499
design__max_fanout_violation__count__corner:min_tt_025C_1v80,71
design__max_cap_violation__count__corner:min_tt_025C_1v80,3
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.27267525120739533
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2716679458286644
timing__hold__ws__corner:min_tt_025C_1v80,0.4656745121319069
timing__setup__ws__corner:min_tt_025C_1v80,7.978594011301404
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.465675
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,7.978594
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1274
design__max_fanout_violation__count__corner:min_ss_100C_1v60,71
design__max_cap_violation__count__corner:min_ss_100C_1v60,18
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.2889065457530138
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.28807632095171876
timing__hold__ws__corner:min_ss_100C_1v60,1.149702587896637
timing__setup__ws__corner:min_ss_100C_1v60,-3.701400180011566
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-16.220854452088822
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-3.701400180011566
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.149703
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,7
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-3.701400
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,7
timing__unannotated_net__count__corner:min_ss_100C_1v60,31
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,276
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,71
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.2668670915342272
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.265710738710225
timing__hold__ws__corner:min_ff_n40C_1v95,0.21108571044117044
timing__setup__ws__corner:min_ff_n40C_1v95,10.305069977914332
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.211086
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,13.815830
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,31
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,598
design__max_fanout_violation__count__corner:max_tt_025C_1v80,71
design__max_cap_violation__count__corner:max_tt_025C_1v80,9
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.2780321329638659
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.27420441693361053
timing__hold__ws__corner:max_tt_025C_1v80,0.4774956676320796
timing__setup__ws__corner:max_tt_025C_1v80,7.294528743064298
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.477496
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,7.294529
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,1543
design__max_fanout_violation__count__corner:max_ss_100C_1v60,71
design__max_cap_violation__count__corner:max_ss_100C_1v60,25
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.295173643881966
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.2918225466096619
timing__hold__ws__corner:max_ss_100C_1v60,1.1701043798410582
timing__setup__ws__corner:max_ss_100C_1v60,-4.999337973991692
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-27.551673722319226
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-4.999337973991692
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.170104
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,13
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-4.999338
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,13
timing__unannotated_net__count__corner:max_ss_100C_1v60,31
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,368
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,71
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2717489643561778
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2703535805082135
timing__hold__ws__corner:max_ff_n40C_1v95,0.21582819475843712
timing__setup__ws__corner:max_ff_n40C_1v95,10.180686803966472
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.215828
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,13.500188
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,31
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,31
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79992
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000080246
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000830986
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000500427
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000830986
design_powergrid__voltage__worst,0.0000830986
design_powergrid__voltage__worst__net:VPWR,1.79992
design_powergrid__drop__worst,0.0000830986
design_powergrid__drop__worst__net:VPWR,0.000080246
design_powergrid__voltage__worst__net:VGND,0.0000830986
design_powergrid__drop__worst__net:VGND,0.0000830986
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000048400000000000002468489822271546785259488387964665889739990234375
ir__drop__worst,0.000080199999999999997853106226131103539955802261829376220703125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
